;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   419)      1793.3  Rx         0744  0  RTR
   420)      1793.5  Rx         0768  0  RTR
   421)      1798.0  Rx         0744  1  85 
   422)      1798.4  Rx         0768  1  85 
   423)      1822.8  Rx         0705  0  RTR
   424)      1823.1  Rx         0705  1  05 
   425)      1823.3  Rx         0745  0  RTR
   426)      1823.5  Rx         0769  0  RTR
   427)      1824.0  Rx         0300  8  50 80 00 00 00 00 00 00 
   428)      1827.0  Rx         0769  1  85 
   429)      1828.3  Rx         0745  1  05 
   430)      1829.2  Rx         0291  8  90 00 00 00 00 00 00 00 
   431)      1852.9  Rx         0706  0  RTR
   432)      1853.1  Rx         0706  1  85 
   433)      1853.3  Rx         0746  0  RTR
   434)      1853.5  Rx         076A  0  RTR
   435)      1855.2  Rx         076A  1  85 
   436)      1856.6  Rx         0746  1  85 
   437)      1873.1  Rx         0300  8  51 80 00 00 00 00 00 00 
   438)      1882.1  Rx         0292  8  91 00 00 00 00 00 00 00 
   439)      1882.9  Rx         0707  0  RTR
   440)      1883.1  Rx         0707  1  85 
   441)      1883.3  Rx         0747  0  RTR
   442)      1883.5  Rx         076B  0  RTR
   443)      1885.3  Rx         0747  1  05 
   444)      1889.4  Rx         076B  1  85 
   445)      1912.9  Rx         0708  0  RTR
   446)      1913.0  Rx         0748  0  RTR
   447)      1913.3  Rx         0708  1  85 
   448)      1913.5  Rx         076C  0  RTR
   449)      1914.3  Rx         0748  1  05 
   450)      1922.5  Rx         076C  1  85 
   451)      1923.1  Rx         0300  8  52 80 00 00 00 00 00 00 
   452)      1927.8  Rx         0293  8  92 00 00 00 00 00 00 00 
   453)      1942.8  Rx         0709  0  RTR
