;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
 33782)    142318.5  Rx         0708  1  85 
 33783)    142318.6  Rx         0748  0  RTR
 33784)    142318.8  Rx         0769  0  RTR
 33785)    142319.7  Rx         0769  1  05 
 33786)    142320.7  Rx         0748  1  05 
 33787)    142328.5  Rx         0300  8  46 80 00 00 00 00 00 00 
 33788)    142337.6  Rx         0287  8  86 00 00 00 00 00 00 00 
 33789)    142348.2  Rx         0709  0  RTR
 33790)    142348.5  Rx         0709  1  85 
 33791)    142348.6  Rx         0749  0  RTR
 33792)    142348.9  Rx         076A  0  RTR
 33793)    142349.8  Rx         0749  1  85 
 33794)    142357.2  Rx         076A  1  05 
 33795)    142378.3  Rx         070A  0  RTR
 33796)    142378.5  Rx         070A  1  05 
 33797)    142378.7  Rx         074A  0  RTR
 33798)    142378.9  Rx         076B  0  RTR
 33799)    142379.4  Rx         0300  8  47 80 00 00 00 00 00 00 
 33800)    142379.6  Rx         074A  1  05 
 33801)    142383.4  Rx         076B  1  05 
 33802)    142386.2  Rx         0288  8  87 00 00 00 00 00 00 00 
 33803)    142408.2  Rx         070B  0  RTR
 33804)    142408.5  Rx         070B  1  05 
 33805)    142408.7  Rx         074B  0  RTR
 33806)    142408.8  Rx         076C  0  RTR
 33807)    142412.9  Rx         076C  1  05 
 33808)    142413.3  Rx         074B  1  85 
 33809)    142428.6  Rx         0300  8  48 80 00 00 00 00 00 00 
 33810)    142430.6  Rx         0289  8  88 00 00 00 00 00 00 00 
 33811)    142438.2  Rx         070C  0  RTR
 33812)    142438.4  Rx         074C  0  RTR
 33813)    142438.7  Rx         070C  1  05 
 33814)    142438.8  Rx         076D  0  RTR
 33815)    142440.3  Rx         076D  1  05 
 33816)    142442.1  Rx         074C  1  85 
 33817)    142468.2  Rx         070D  0  RTR
 33818)    142468.5  Rx         070D  1  05 
 33819)    142468.7  Rx         074D  0  RTR
 33820)    142468.9  Rx         076E  0  RTR
 33821)    142470.5  Rx         074D  1  85 
 33822)    142474.8  Rx         076E  1  05 
 33823)    142478.6  Rx         0300  8  49 80 00 00 00 00 00 00 
 33824)    142484.7  Rx         028A  8  89 00 00 00 00 00 00 00 
 33825)    142498.2  Rx         070E  0  RTR
 33826)    142498.5  Rx         070E  1  85 
 33827)    142498.7  Rx         074E  0  RTR
 33828)    142498.9  Rx         076F  0  RTR
 33829)    142500.7  Rx         074E  1  05 
 33830)    142503.6  Rx         076F  1  05 
 33831)    142528.3  Rx         070F  0  RTR
 33832)    142528.5  Rx         070F  1  85 
 33833)    142528.7  Rx         074F  0  RTR
 33834)    142528.9  Rx         0770  0  RTR
 33835)    142529.4  Rx         0300  8  4A 80 00 00 00 00 00 00 
 33836)    142532.0  Rx         074F  1  05 
 33837)    142533.0  Rx         028B  8  8A 00 00 00 00 00 00 00 
 33838)    142533.2  Rx         0770  1  05 
 33839)    142558.3  Rx         0710  0  RTR
 33840)    142558.4  Rx         0750  0  RTR
 33841)    142558.7  Rx         0710  1  85 
 33842)    142558.9  Rx         0771  0  RTR
 33843)    142561.9  Rx         0750  1  05 
 33844)    142566.2  Rx         0771  1  05 
 33845)    142578.6  Rx         0300  8  4B 80 00 00 00 00 00 00 
 33846)    142584.5  Rx         028C  8  8B 00 00 00 00 00 00 00 
 33847)    142588.3  Rx         0711  0  RTR
 33848)    142588.5  Rx         0711  1  85 
 33849)    142588.7  Rx         0751  0  RTR
 33850)    142588.8  Rx         0772  0  RTR
 33851)    142590.0  Rx         0772  1  05 
 33852)    142590.4  Rx         0751  1  85 
 33853)    142618.2  Rx         0712  0  RTR
 33854)    142618.5  Rx         0712  1  05 
 33855)    142618.7  Rx         0752  0  RTR
 33856)    142618.8  Rx         0773  0  RTR
 33857)    142619.1  Rx         0752  1  85 
 33858)    142625.8  Rx         0773  1  05 
 33859)    142628.6  Rx         0300  8  4C 80 00 00 00 00 00 00 
 33860)    142637.4  Rx         028D  8  8C 00 00 00 00 00 00 00 
 33861)    142648.2  Rx         0713  0  RTR
 33862)    142648.5  Rx         0713  1  05 
 33863)    142648.7  Rx         0753  0  RTR
 33864)    142648.9  Rx         0774  0  RTR
 33865)    142651.9  Rx         0774  1  05 
 33866)    142652.1  Rx         0753  1  85 
 33867)    142678.2  Rx         0714  0  RTR
 33868)    142679.3  Rx         0300  8  4D 80 00 00 00 00 00 00 
 33869)    142679.5  Rx         0714  1  05 
 33870)    142686.3  Rx         028E  8  CD 5F 0E 00 31 00 0A 05 
 33871)    142708.3  Rx         0701  0  RTR
 33872)    142708.5  Rx         0701  1  05 
 33873)    142708.7  Rx         0741  0  RTR
 33874)    142708.9  Rx         0761  0  RTR
 33875)    142711.7  Rx         0741  1  85 
 33876)    142712.8  Rx         0761  1  85 
 33877)    142728.5  Rx         0300  8  4E 80 00 00 00 00 00 00 
 33878)    142733.3  Rx         028F  8  8E 00 00 00 00 00 00 00 
 33879)    142738.3  Rx         0702  0  RTR
 33880)    142738.5  Rx         0702  1  85 
 33881)    142738.7  Rx         0742  0  RTR
 33882)    142738.9  Rx         0762  0  RTR
 33883)    142740.4  Rx         0762  1  85 
 33884)    142742.2  Rx         0742  1  85 
 33885)    142768.3  Rx         0703  0  RTR
 33886)    142768.5  Rx         0743  0  RTR
 33887)    142768.6  Rx         0763  0  RTR
 33888)    142769.2  Rx         0703  1  85 
 33889)    142771.3  Rx         0763  1  85 
 33890)    142771.8  Rx         0743  1  85 
 33891)    142778.5  Rx         0300  8  4F 80 00 00 00 00 00 00 
 33892)    142784.3  Rx         0290  8  8F 00 00 00 00 00 00 00 
 33893)    142798.2  Rx         0704  0  RTR
 33894)    142798.5  Rx         0704  1  85 
 33895)    142798.7  Rx         0744  0  RTR
 33896)    142798.9  Rx         0764  0  RTR
 33897)    142800.2  Rx         0764  1  85 
 33898)    142828.2  Rx         0705  0  RTR
 33899)    142828.5  Rx         0705  1  85 
 33900)    142828.7  Rx         0745  0  RTR
 33901)    142828.9  Rx         0765  0  RTR
 33902)    142829.4  Rx         0300  8  50 80 00 00 00 00 00 00 
 33903)    142829.8  Rx         0745  1  85 
 33904)    142832.9  Rx         0765  1  85 
 33905)    142834.0  Rx         0291  8  90 00 00 00 00 00 00 00 
 33906)    142858.2  Rx         0706  0  RTR
 33907)    142858.4  Rx         0746  0  RTR
 33908)    142858.7  Rx         0706  1  05 
 33909)    142858.9  Rx         0766  0  RTR
 33910)    142862.1  Rx         0766  1  85 
 33911)    142863.1  Rx         0746  1  05 
 33912)    142878.5  Rx         0300  8  51 80 00 00 00 00 00 00 
 33913)    142878.9  Rx         0260  4  1F CA 01 00 
 33914)    142888.4  Rx         0292  8  91 00 00 00 00 00 00 00 
 33915)    142888.6  Rx         0707  0  RTR
 33916)    142888.8  Rx         0707  1  05 
 33917)    142889.0  Rx         0747  0  RTR
 33918)    142889.2  Rx         0767  0  RTR
 33919)    142892.0  Rx         0767  1  85 
 33920)    142892.2  Rx         0747  1  85 
 33921)    142918.3  Rx         0708  0  RTR
 33922)    142918.5  Rx         0708  1  05 
 33923)    142918.7  Rx         0748  0  RTR
 33924)    142918.9  Rx         0768  0  RTR
 33925)    142920.7  Rx         0748  1  85 
 33926)    142922.5  Rx         0768  1  85 
 33927)    142928.5  Rx         0300  8  52 80 00 00 00 00 00 00 
 33928)    142933.5  Rx         0293  8  92 00 00 00 00 00 00 00 
 33929)    142948.3  Rx         0709  0  RTR
 33930)    142948.5  Rx         0709  1  05 
 33931)    142948.7  Rx         0749  0  RTR
 33932)    142948.9  Rx         0769  0  RTR
 33933)    142950.0  Rx         0749  1  05 
 33934)    142950.2  Rx         0769  1  85 
 33935)    142978.3  Rx         070A  0  RTR
 33936)    142978.5  Rx         074A  0  RTR
 33937)    142978.7  Rx         070A  1  85 
 33938)    142978.9  Rx         076A  0  RTR
 33939)    142979.4  Rx         0300  8  53 80 00 00 00 00 00 00 
 33940)    142985.8  Rx         0294  8  93 00 00 00 00 00 00 00 
 33941)    142987.3  Rx         076A  1  85 
 33942)    143008.2  Rx         070B  0  RTR
 33943)    143008.5  Rx         070B  1  85 
 33944)    143008.7  Rx         074B  0  RTR
 33945)    143008.9  Rx         076B  0  RTR
 33946)    143013.5  Rx         076B  1  85 
 33947)    143028.6  Rx         0300  8  40 80 00 00 00 00 00 00 
 33948)    143032.4  Rx         0281  8  80 00 00 00 00 00 00 00 
 33949)    143038.2  Rx         070C  0  RTR
 33950)    143038.5  Rx         074C  0  RTR
 33951)    143038.7  Rx         070C  1  85 
 33952)    143038.9  Rx         076C  0  RTR
 33953)    143042.1  Rx         074C  1  05 
 33954)    143042.9  Rx         076C  1  85 
 33955)    143056.9  Rx         0260  4  0E 23 B4 10 
 33956)    143057.8  Rx         034F  8  2E 25 B4 10 00 00 00 00 
 33957)    143068.3  Rx         070D  0  RTR
 33958)    143068.5  Rx         070D  1  85 
 33959)    143068.7  Rx         074D  0  RTR
 33960)    143068.9  Rx         076D  0  RTR
 33961)    143070.1  Rx         076D  1  85 
 33962)    143070.4  Rx         074D  1  05 
 33963)    143078.6  Rx         0300  8  41 80 00 00 00 00 00 00 
 33964)    143089.0  Rx         0282  8  81 00 00 00 00 00 00 00 
 33965)    143098.3  Rx         070E  0  RTR
 33966)    143098.5  Rx         070E  1  05 
 33967)    143098.7  Rx         074E  0  RTR
 33968)    143098.9  Rx         076E  0  RTR
 33969)    143100.7  Rx         074E  1  85 
 33970)    143104.8  Rx         076E  1  85 
 33971)    143128.3  Rx         070F  0  RTR
 33972)    143128.5  Rx         070F  1  05 
 33973)    143128.7  Rx         074F  0  RTR
 33974)    143128.9  Rx         076F  0  RTR
 33975)    143129.4  Rx         0300  8  42 80 00 00 00 00 00 00 
 33976)    143132.0  Rx         074F  1  85 
 33977)    143133.6  Rx         076F  1  85 
 33978)    143138.3  Rx         0283  8  82 00 00 00 00 00 00 00 
 33979)    143158.3  Rx         0710  0  RTR
 33980)    143158.5  Rx         0710  1  05 
 33981)    143158.7  Rx         0750  0  RTR
 33982)    143158.9  Rx         0770  0  RTR
 33983)    143161.9  Rx         0750  1  85 
 33984)    143163.1  Rx         0770  1  85 
 33985)    143178.6  Rx         0300  8  43 80 00 00 00 00 00 00 
 33986)    143184.7  Rx         0284  8  83 00 00 00 00 00 00 00 
 33987)    143188.2  Rx         0711  0  RTR
 33988)    143188.5  Rx         0711  1  05 
 33989)    143188.7  Rx         0751  0  RTR
 33990)    143188.9  Rx         0771  0  RTR
 33991)    143190.3  Rx         0751  1  05 
 33992)    143196.4  Rx         0771  1  85 
 33993)    143218.3  Rx         0712  0  RTR
 33994)    143218.5  Rx         0712  1  85 
 33995)    143218.7  Rx         0752  0  RTR
 33996)    143218.9  Rx         0772  0  RTR
 33997)    143219.1  Rx         0752  1  05 
 33998)    143220.0  Rx         0772  1  85 
 33999)    143228.6  Rx         0300  8  44 80 00 00 00 00 00 00 
 34000)    143236.3  Rx         0285  8  C4 51 3F 55 C9 D9 EE F0 
 34001)    143248.3  Rx         0713  0  RTR
 34002)    143248.4  Rx         0753  0  RTR
 34003)    143248.7  Rx         0713  1  85 
 34004)    143248.9  Rx         0773  0  RTR
 34005)    143252.0  Rx         0753  1  05 
 34006)    143255.7  Rx         0773  1  85 
 34007)    143278.3  Rx         0714  0  RTR
 34008)    143278.5  Rx         0714  1  85 
 34009)    143278.7  Rx         0774  0  RTR
 34010)    143279.2  Rx         0300  8  45 80 00 00 00 00 00 00 
 34011)    143281.1  Rx         0286  8  85 00 00 00 00 00 00 00 
 34012)    143281.9  Rx         0774  1  85 
 34013)    143308.3  Rx         0701  0  RTR
 34014)    143308.5  Rx         0701  1  85 
 34015)    143308.7  Rx         0741  0  RTR
 34016)    143311.7  Rx         0741  1  05 
 34017)    143328.6  Rx         0300  8  46 80 00 00 00 00 00 00 
 34018)    143337.6  Rx         0287  8  C6 51 3F 00 00 00 00 00 
 34019)    143338.3  Rx         0702  0  RTR
 34020)    143338.5  Rx         0702  1  05 
 34021)    143338.7  Rx         0742  0  RTR
 34022)    143338.9  Rx         0761  0  RTR
 34023)    143342.2  Rx         0742  1  05 
 34024)    143342.8  Rx         0761  1  05 
 34025)    143368.3  Rx         0703  0  RTR
 34026)    143368.5  Rx         0743  0  RTR
 34027)    143368.7  Rx         0762  0  RTR
 34028)    143368.9  Rx         0703  1  05 
 34029)    143370.4  Rx         0762  1  05 
 34030)    143371.8  Rx         0743  1  05 
 34031)    143378.6  Rx         0300  8  47 80 00 00 00 00 00 00 
 34032)    143386.2  Rx         0288  8  87 00 00 00 00 00 00 00 
 34033)    143398.3  Rx         0704  0  RTR
 34034)    143398.5  Rx         0744  0  RTR
 34035)    143398.7  Rx         0704  1  05 
 34036)    143398.9  Rx         0763  0  RTR
 34037)    143399.4  Rx         0744  1  85 
 34038)    143401.3  Rx         0763  1  05 
 34039)    143428.3  Rx         0705  0  RTR
 34040)    143428.5  Rx         0745  0  RTR
 34041)    143428.7  Rx         0764  0  RTR
 34042)    143429.1  Rx         0300  8  48 80 00 00 00 00 00 00 
 34043)    143429.4  Rx         0705  1  05 
 34044)    143429.8  Rx         0745  1  05 
 34045)    143430.2  Rx         0764  1  05 
 34046)    143430.7  Rx         0289  8  88 00 00 00 00 00 00 00 
 34047)    143458.3  Rx         0706  0  RTR
 34048)    143458.4  Rx         0746  0  RTR
 34049)    143458.7  Rx         0706  1  85 
 34050)    143458.9  Rx         0765  0  RTR
 34051)    143462.9  Rx         0765  1  05 
 34052)    143463.1  Rx         0746  1  85 
 34053)    143478.6  Rx         0300  8  49 80 00 00 00 00 00 00 
 34054)    143484.3  Rx         028A  8  89 00 00 00 00 00 00 00 
 34055)    143488.3  Rx         0707  0  RTR
 34056)    143488.5  Rx         0707  1  85 
 34057)    143488.7  Rx         0747  0  RTR
 34058)    143488.9  Rx         0766  0  RTR
 34059)    143492.0  Rx         0766  1  05 
 34060)    143492.3  Rx         0747  1  05 
 34061)    143518.3  Rx         0708  0  RTR
 34062)    143518.5  Rx         0708  1  85 
 34063)    143518.7  Rx         0748  0  RTR
 34064)    143518.9  Rx         0767  0  RTR
 34065)    143520.7  Rx         0748  1  05 
 34066)    143522.0  Rx         0767  1  05 
 34067)    143528.6  Rx         0300  8  4A 80 00 00 00 00 00 00 
 34068)    143533.3  Rx         028B  8  8A 00 00 00 00 00 00 00 
 34069)    143548.3  Rx         0709  0  RTR
 34070)    143548.5  Rx         0709  1  85 
 34071)    143548.7  Rx         0749  0  RTR
 34072)    143548.9  Rx         0768  0  RTR
 34073)    143549.8  Rx         0749  1  85 
 34074)    143552.6  Rx         0768  1  05 
 34075)    143578.3  Rx         070A  0  RTR
 34076)    143578.5  Rx         074A  0  RTR
 34077)    143578.7  Rx         0769  0  RTR
 34078)    143579.1  Rx         0300  8  4B 80 00 00 00 00 00 00 
 34079)    143579.4  Rx         070A  1  05 
 34080)    143579.7  Rx         0769  1  05 
 34081)    143584.5  Rx         028C  8  8B 00 00 00 00 00 00 00 
 34082)    143608.3  Rx         070B  0  RTR
 34083)    143608.5  Rx         070B  1  05 
 34084)    143608.7  Rx         074B  0  RTR
 34085)    143608.9  Rx         076A  0  RTR
 34086)    143613.3  Rx         074B  1  85 
 34087)    143617.2  Rx         076A  1  05 
 34088)    143628.6  Rx         0300  8  4C 80 00 00 00 00 00 00 
 34089)    143637.3  Rx         028D  8  8C 00 00 00 00 00 00 00 
 34090)    143638.3  Rx         070C  0  RTR
 34091)    143638.5  Rx         074C  0  RTR
 34092)    143638.7  Rx         076B  0  RTR
 34093)    143639.2  Rx         070C  1  05 
 34094)    143642.0  Rx         074C  1  85 
 34095)    143643.4  Rx         076B  1  05 
 34096)    143668.3  Rx         070D  0  RTR
 34097)    143668.5  Rx         074D  0  RTR
 34098)    143668.7  Rx         070D  1  05 
 34099)    143668.9  Rx         076C  0  RTR
 34100)    143670.4  Rx         074D  1  85 
 34101)    143672.9  Rx         076C  1  05 
 34102)    143678.6  Rx         0300  8  4D 80 00 00 00 00 00 00 
 34103)    143686.3  Rx         028E  8  8D 00 00 00 00 00 00 00 
 34104)    143698.3  Rx         070E  0  RTR
 34105)    143698.5  Rx         070E  1  85 
 34106)    143698.7  Rx         074E  0  RTR
 34107)    143698.9  Rx         076D  0  RTR
 34108)    143700.1  Rx         076D  1  05 
 34109)    143700.7  Rx         074E  1  05 
 34110)    143728.3  Rx         070F  0  RTR
 34111)    143728.5  Rx         070F  1  85 
 34112)    143728.7  Rx         074F  0  RTR
 34113)    143728.9  Rx         076E  0  RTR
 34114)    143729.4  Rx         0300  8  4E 80 00 00 00 00 00 00 
 34115)    143732.0  Rx         074F  1  05 
 34116)    143733.2  Rx         028F  8  CE 5F 0E 00 25 00 01 05 
 34117)    143734.8  Rx         076E  1  05 
 34118)    143758.3  Rx         0710  0  RTR
 34119)    143758.5  Rx         0750  0  RTR
 34120)    143758.7  Rx         0710  1  85 
 34121)    143758.9  Rx         076F  0  RTR
 34122)    143761.8  Rx         0750  1  05 
 34123)    143763.6  Rx         076F  1  05 
 34124)    143778.6  Rx         0300  8  4F 80 00 00 00 00 00 00 
 34125)    143784.3  Rx         0290  8  8F 00 00 00 00 00 00 00 
 34126)    143788.3  Rx         0711  0  RTR
 34127)    143788.5  Rx         0711  1  85 
 34128)    143788.7  Rx         0751  0  RTR
 34129)    143788.9  Rx         0770  0  RTR
 34130)    143790.3  Rx         0751  1  85 
 34131)    143792.9  Rx         0770  1  05 
 34132)    143818.3  Rx         0712  0  RTR
 34133)    143818.5  Rx         0712  1  05 
 34134)    143818.7  Rx         0752  0  RTR
 34135)    143818.9  Rx         0771  0  RTR
 34136)    143826.3  Rx         0771  1  05 
 34137)    143828.6  Rx         0300  8  50 80 00 00 00 00 00 00 
 34138)    143834.0  Rx         0291  8  90 00 00 00 00 00 00 00 
 34139)    143848.3  Rx         0713  0  RTR
 34140)    143848.5  Rx         0713  1  05 
 34141)    143848.7  Rx         0753  0  RTR
 34142)    143848.9  Rx         0772  0  RTR
 34143)    143850.0  Rx         0772  1  05 
 34144)    143852.0  Rx         0753  1  85 
 34145)    143878.3  Rx         0714  0  RTR
 34146)    143878.5  Rx         0714  1  05 
 34147)    143878.7  Rx         0773  0  RTR
 34148)    143879.2  Rx         0300  8  51 80 00 00 00 00 00 00 
 34149)    143885.7  Rx         0773  1  05 
 34150)    143888.4  Rx         0292  8  91 00 00 00 00 00 00 00 
 34151)    143908.3  Rx         0701  0  RTR
 34152)    143908.5  Rx         0701  1  05 
 34153)    143908.7  Rx         0741  0  RTR
 34154)    143908.9  Rx         0774  0  RTR
 34155)    143911.7  Rx         0741  1  85 
 34156)    143911.9  Rx         0774  1  05 
 34157)    143928.6  Rx         0300  8  52 80 00 00 00 00 00 00 
 34158)    143933.4  Rx         0293  8  92 00 00 00 00 00 00 00 
 34159)    143938.3  Rx         0702  0  RTR
 34160)    143938.5  Rx         0702  1  85 
 34161)    143938.7  Rx         0742  0  RTR
 34162)    143942.2  Rx         0742  1  85 
 34163)    143968.3  Rx         0703  0  RTR
 34164)    143968.5  Rx         0743  0  RTR
 34165)    143968.7  Rx         0703  1  85 
 34166)    143968.9  Rx         0761  0  RTR
 34167)    143971.8  Rx         0743  1  85 
 34168)    143972.8  Rx         0761  1  85 
 34169)    143978.6  Rx         0300  8  53 80 00 00 00 00 00 00 
 34170)    143985.7  Rx         0294  8  93 00 00 00 00 00 00 00 
 34171)    143998.3  Rx         0704  0  RTR
 34172)    143998.5  Rx         0744  0  RTR
 34173)    143998.7  Rx         0704  1  85 
 34174)    143998.9  Rx         0762  0  RTR
 34175)    143999.4  Rx         0744  1  05 
 34176)    144000.5  Rx         0762  1  85 
 34177)    144028.3  Rx         0705  0  RTR
 34178)    144028.5  Rx         0745  0  RTR
 34179)    144028.7  Rx         0763  0  RTR
 34180)    144029.2  Rx         0300  8  40 80 00 00 00 00 00 00 
 34181)    144029.4  Rx         0705  1  85 
 34182)    144029.8  Rx         0745  1  85 
 34183)    144031.3  Rx         0763  1  85 
 34184)    144032.4  Rx         0281  8  80 00 00 00 00 00 00 00 
 34185)    144056.9  Rx         0260  4  06 23 8D 0B 
 34186)    144058.2  Rx         0347  8  26 25 8D 0B 00 00 00 00 
 34187)    144058.4  Rx         0706  0  RTR
 34188)    144058.6  Rx         0706  1  05 
 34189)    144058.8  Rx         0746  0  RTR
 34190)    144059.0  Rx         0764  0  RTR
 34191)    144060.2  Rx         0764  1  85 
 34192)    144063.0  Rx         0746  1  05 
 34193)    144078.6  Rx         0300  8  41 80 00 00 00 00 00 00 
 34194)    144088.3  Rx         0707  0  RTR
 34195)    144088.6  Rx         0707  1  05 
 34196)    144089.0  Rx         0282  8  81 00 00 00 00 00 00 00 
 34197)    144089.2  Rx         0747  0  RTR
 34198)    144089.4  Rx         0765  0  RTR
 34199)    144092.0  Rx         0747  1  85 
 34200)    144092.9  Rx         0765  1  85 
 34201)    144118.3  Rx         0708  0  RTR
 34202)    144118.5  Rx         0748  0  RTR
 34203)    144118.7  Rx         0708  1  05 
 34204)    144118.9  Rx         0766  0  RTR
 34205)    144120.7  Rx         0748  1  85 
 34206)    144122.1  Rx         0766  1  85 
 34207)    144129.1  Rx         0300  8  42 80 00 00 00 00 00 00 
 34208)    144139.0  Rx         0283  8  82 00 00 00 00 00 00 00 
 34209)    144148.3  Rx         0709  0  RTR
 34210)    144148.5  Rx         0709  1  05 
 34211)    144148.7  Rx         0749  0  RTR
 34212)    144148.9  Rx         0767  0  RTR
 34213)    144149.8  Rx         0749  1  05 
 34214)    144152.0  Rx         0767  1  85 
 34215)    144178.3  Rx         070A  0  RTR
 34216)    144178.5  Rx         074A  0  RTR
 34217)    144178.7  Rx         0768  0  RTR
 34218)    144179.2  Rx         0300  8  43 80 00 00 00 00 00 00 
 34219)    144179.4  Rx         070A  1  85 
 34220)    144182.6  Rx         0768  1  85 
 34221)    144184.6  Rx         0284  8  83 00 00 00 00 00 00 00 
 34222)    144208.3  Rx         070B  0  RTR
 34223)    144208.5  Rx         070B  1  85 
 34224)    144208.7  Rx         074B  0  RTR
 34225)    144208.9  Rx         0769  0  RTR
 34226)    144209.7  Rx         0769  1  85 
 34227)    144213.2  Rx         074B  1  05 
 34228)    144220.3  Rx         01F2  4  11 58 E0 00 
 34229)    144228.6  Rx         0300  8  44 80 00 00 00 00 00 00 
 34230)    144235.9  Rx         0285  8  84 00 00 00 00 00 00 00 
 34231)    144238.3  Rx         070C  0  RTR
 34232)    144238.5  Rx         070C  1  85 
 34233)    144238.7  Rx         074C  0  RTR
 34234)    144238.9  Rx         076A  0  RTR
 34235)    144242.0  Rx         074C  1  05 
 34236)    144247.2  Rx         076A  1  85 
 34237)    144268.3  Rx         070D  0  RTR
 34238)    144268.5  Rx         070D  1  85 
 34239)    144268.7  Rx         074D  0  RTR
 34240)    144268.9  Rx         076B  0  RTR
 34241)    144273.5  Rx         076B  1  85 
 34242)    144279.1  Rx         0300  8  45 80 00 00 00 00 00 00 
 34243)    144281.1  Rx         0286  8  85 00 00 00 00 00 00 00 
 34244)    144298.3  Rx         070E  0  RTR
 34245)    144298.6  Rx         070E  1  05 
 34246)    144298.7  Rx         074E  0  RTR
 34247)    144298.9  Rx         076C  0  RTR
 34248)    144300.6  Rx         074E  1  85 
 34249)    144302.9  Rx         076C  1  85 
 34250)    144328.3  Rx         070F  0  RTR
 34251)    144328.6  Rx         070F  1  05 
 34252)    144328.7  Rx         074F  0  RTR
 34253)    144328.9  Rx         076D  0  RTR
 34254)    144329.4  Rx         0300  8  46 80 00 00 00 00 00 00 
 34255)    144330.1  Rx         076D  1  85 
 34256)    144332.0  Rx         074F  1  85 
 34257)    144337.5  Rx         0287  8  86 00 00 00 00 00 00 00 
 34258)    144358.3  Rx         0710  0  RTR
 34259)    144358.5  Rx         0750  0  RTR
 34260)    144358.7  Rx         076E  0  RTR
 34261)    144359.2  Rx         0710  1  05 
 34262)    144361.8  Rx         0750  1  85 
 34263)    144364.8  Rx         076E  1  85 
 34264)    144378.6  Rx         0300  8  47 80 00 00 00 00 00 00 
 34265)    144386.1  Rx         0288  8  C7 51 3F 00 00 00 00 00 
 34266)    144388.3  Rx         0711  0  RTR
 34267)    144388.5  Rx         0711  1  05 
 34268)    144388.7  Rx         0751  0  RTR
 34269)    144388.9  Rx         076F  0  RTR
 34270)    144390.3  Rx         0751  1  05 
 34271)    144393.6  Rx         076F  1  85 
 34272)    144418.3  Rx         0712  0  RTR
 34273)    144418.5  Rx         0712  1  85 
 34274)    144418.7  Rx         0752  0  RTR
 34275)    144418.9  Rx         0770  0  RTR
 34276)    144423.1  Rx         0770  1  85 
 34277)    144423.9  Rx         0752  1  05 
 34278)    144428.6  Rx         0300  8  48 80 00 00 00 00 00 00 
 34279)    144430.4  Rx         0289  8  C8 51 3F 00 00 00 00 00 
 34280)    144448.5  Rx         0713  0  RTR
 34281)    144448.7  Rx         0713  1  85 
 34282)    144448.9  Rx         0753  0  RTR
 34283)    144449.1  Rx         0771  0  RTR
 34284)    144452.0  Rx         0753  1  05 
 34285)    144456.3  Rx         0771  1  85 
 34286)    144478.6  Rx         0714  0  RTR
 34287)    144478.8  Rx         0714  1  85 
 34288)    144479.0  Rx         0772  0  RTR
 34289)    144479.5  Rx         0300  8  49 80 00 00 00 00 00 00 
 34290)    144480.1  Rx         0772  1  85 
 34291)    144484.3  Rx         028A  8  89 00 00 00 00 00 00 00 
 34292)    144508.3  Rx         0701  0  RTR
 34293)    144508.6  Rx         0701  1  85 
 34294)    144508.8  Rx         0741  0  RTR
 34295)    144508.9  Rx         0773  0  RTR
 34296)    144511.7  Rx         0741  1  05 
 34297)    144515.8  Rx         0773  1  85 
 34298)    144528.6  Rx         0300  8  4A 80 00 00 00 00 00 00 
 34299)    144532.9  Rx         028B  8  8A 00 00 00 00 00 00 00 
 34300)    144538.3  Rx         0702  0  RTR
 34301)    144538.6  Rx         0702  1  05 
 34302)    144538.8  Rx         0742  0  RTR
 34303)    144539.0  Rx         0774  0  RTR
 34304)    144541.9  Rx         0774  1  85 
 34305)    144542.2  Rx         0742  1  05 
 34306)    144568.3  Rx         0703  0  RTR
 34307)    144568.5  Rx         0743  0  RTR
 34308)    144568.8  Rx         0703  1  05 
 34309)    144571.8  Rx         0743  1  05 
 34310)    144578.6  Rx         0300  8  4B 80 00 00 00 00 00 00 
 34311)    144584.6  Rx         028C  8  8B 00 00 00 00 00 00 00 
 34312)    144588.4  Rx         0000  2  81 54 
 34313)    144598.4  Rx         0704  0  RTR
 34314)    144598.6  Rx         0704  1  05 
 34315)    144598.8  Rx         0744  0  RTR
 34316)    144599.0  Rx         0761  0  RTR
 34317)    144599.4  Rx         0744  1  85 
 34318)    144602.8  Rx         0761  1  05 
 34319)    144628.4  Rx         0705  0  RTR
 34320)    144628.5  Rx         0745  0  RTR
 34321)    144628.8  Rx         0705  1  05 
 34322)    144629.0  Rx         0762  0  RTR
 34323)    144629.5  Rx         0300  8  4C 80 00 00 00 00 00 00 
 34324)    144629.8  Rx         0745  1  05 
 34325)    144630.5  Rx         0762  1  05 
 34326)    144637.3  Rx         028D  8  8C 00 00 00 00 00 00 00 
 34327)    144658.3  Rx         0706  0  RTR
 34328)    144658.6  Rx         0706  1  85 
 34329)    144658.8  Rx         0746  0  RTR
 34330)    144658.9  Rx         0763  0  RTR
